Place,Description,Coordinates,Latitude,Longitude
Rua Joaquim Silva,altura Selaron,"(-22.915305, -43.182185)",-22.915305,-43.182185
Rua Joaquim Silva,ao lado santuário Zé Pelintra,"(-22.911701, -43.178229)",-22.911701,-43.178229
Beco do Rato,,"(-22.913972, -43.183221)",-22.913972,-43.183221
Praça Paris,,"(-22.914985, -43.183928)",-22.914985,-43.183928
Deck do Santos Dumont,,"(-22.913294, -43.174612)",-22.913294,-43.174612
Museu de Arte Moderna,,"(-22.916656, -43.175295)",-22.916656,-43.175295
Praça dos Arcos da Lapa,,"(-22.911647, -43.179888)",-22.911647,-43.179888
Riachuelo esquina com Silvio Romero,bar da Nalva,"(-22.907625, -43.185682)",-22.907625,-43.185682
Praça João Pessoa,Bar da Cachaça,"(-22.911573, -43.177372)",-22.911573,-43.177372
Rua do Lavradio com rua da Relação,altura do Bola Preta,"(-22.913752, -43.182131)",-22.913752,-43.182131
Rua dos arcos,em frente à Fundição,"(-22.911375, -43.178215)",-22.911375,-43.178215
Rua México,museu de Belas Artes,"(-22.911327, -43.174293)",-22.911327,-43.174293
Rua Pedro Lessa,Banca do André,"(-22.910348, -43.175672)",-22.910348,-43.175672
Amarelinho da Cinelândia,,"(-22.908576, -43.176793)",-22.908576,-43.176793
Cinelândia,ao lado das escadas da Câmara,"(-22.908701, -43.176617)",-22.908701,-43.176617
Cinelândia,Municipal,"(-22.908181, -43.176521)",-22.908181,-43.176521
Cais do Valongo,,"(-22.902968, -43.185276)",-22.902968,-43.185276
Praça Marechal Âncora,,"(-22.899979, -43.176678)",-22.899979,-43.176678
Aquário,,"(-22.898945, -43.171865)",-22.898945,-43.171865
Rua Camerino,casa da Tia Ciata,"(-22.905614, -43.181527)",-22.905614,-43.181527
Largo da Carioca,,"(-22.904703, -43.178059)",-22.904703,-43.178059
Real Gabinete Português de Leitura,,"(-22.905798, -43.177428)",-22.905798,-43.177428
Buraco do Lume,,"(-22.906867, -43.177581)",-22.906867,-43.177581
Praça XV,skate,"(-22.903982, -43.173825)",-22.903982,-43.173825
Praça XV,Pagô,"(-22.903693, -43.173710)",-22.903693,-43.173710
Praça XV,barcas,"(-22.903790, -43.170640)",-22.903790,-43.170640
Marechal Floriano com rua Acre,,"(-22.904918, -43.177308)",-22.904918,-43.177308
Roda Gigante,,"(-22.904862, -43.177213)",-22.904862,-43.177213
Rua Jogo da Bola,Morro da Conceição,"(-22.899556, -43.179622)",-22.899556,-43.179622
Palácio Tiradentes Antigo prédio da ALERJ,"(-22.899438, -43.173894)",-22.899438,-43.173894
Palácio Capanema,,"(-22.905282, -43.176246)",-22.905282,-43.176246
Praça Marechal Hermes,Santo Cristo,"(-22.897887, -43.206167)",-22.897887,-43.206167
VLT Rodoviária Novo Rio,,"(-22.899150, -43.209172)",-22.899150,-43.209172
Rua do Ouvidor esquina com rua do Mercado,,"(-22.903785, -43.175754)",-22.903785,-43.175754
Rua Gomes Freire,altura do Armazém,"(-22.907802, -43.185182)",-22.907802,-43.185182
Praça Tiradentes,Meio da Praça,"(-22.905543, -43.184987)",-22.905543,-43.184987
Praça Tiradentes,Bar do Nanam,"(-22.905165, -43.185231)",-22.905165,-43.185231
Orla Conde,em frente ao museu da marinha,"(-22.903299, -43.174944)",-22.903299,-43.174944
Rua do Propósito,,"(-22.905499, -43.183568)",-22.905499,-43.183568
Ladeira do Barroso,Providência,"(-22.907473, -43.201829)",-22.907473,-43.201829
Av. Rio Branco,alt. Candelária,"(-22.906186, -43.177829)",-22.906186,-43.177829
Av Rio Branco,alt. mc Donald's,"(-22.906575, -43.177555)",-22.906575,-43.177555
